"MSN","YYYYMM","Value","Column_Order","Description","Unit"
"CLACEUS","199007","0","1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLACEUS","199008","0","1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLACEUS","199009","0","1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLACEUS","199010","0","1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLACEUS","199011","0","1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLACEUS","199012","0","1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLACEUS","199013","0","1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLACEUS","199101","0","1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLACEUS","199102","0","1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLACEUS","199103","0","1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLACEUS","199104","0","1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLACEUS","199105","0","1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLACEUS","199106","0","1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLACEUS","199107","0","1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLACEUS","199108","0","1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLACEUS","199109","0","1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLACEUS","199110","0","1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLACEUS","199111","0","1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLACEUS","199112","0","1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLACEUS","199113","0","1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
"CLACEUS","199201","0","1","Coal Transportation Sector CO2 Emissions","Million Metric Tons of Carbon Dioxide"
